Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,325,12,77556.46,2,5,5,255,At Risk
12347.0,1,8,4921.53,5,4,5,545,Champions
12348.0,74,5,2019.4,3,4,4,344,Loyal Customers
12349.0,18,4,4428.69,5,3,5,535,Loyal Customers
12350.0,309,1,334.4,2,1,2,212,Lost Customers
12351.0,374,1,300.93,2,1,2,212,Lost Customers
12352.0,35,10,2849.84,4,5,4,454,Champions
12353.0,203,2,406.76,2,2,2,222,Lost Customers
12354.0,231,1,1079.4,2,1,3,213,Lost Customers
12355.0,213,2,947.61,2,2,3,223,Lost Customers
12356.0,22,6,6371.73,4,4,5,445,Champions
12357.0,32,3,18287.66,4,3,5,435,Loyal Customers
12358.0,1,5,3887.07,5,4,5,545,Champions
12359.0,57,10,8873.39,4,5,5,455,Champions
12360.0,51,8,4252.89,4,4,5,445,Champions
12361.0,286,4,511.25,2,3,2,232,At Risk
12362.0,2,11,5356.23,5,5,5,555,Champions
12363.0,109,2,552.0,3,2,2,322,Need Attention
12364.0,7,4,1313.1,5,3,4,534,Loyal Customers
12365.0,290,2,641.38,2,2,3,223,Lost Customers
12366.0,633,1,500.24,1,1,2,112,Lost Customers
12367.0,3,1,168.9,5,1,1,511,Potential Loyalists
12368.0,627,1,917.6999999999999,1,1,3,113,Lost Customers
12369.0,412,3,1791.15,1,3,4,134,At Risk
12370.0,50,7,4316.56,4,4,5,445,Champions
12371.0,44,5,4067.38,4,4,5,445,Champions
12372.0,71,3,1298.04,3,3,4,334,Loyal Customers
12373.0,310,3,1127.65,2,3,3,233,At Risk
12374.0,24,4,2989.2200000000003,4,3,5,435,Loyal Customers
12375.0,10,2,457.5,5,2,2,522,Potential Loyalists
12376.0,389,2,503.15,2,2,2,222,Lost Customers
12377.0,314,4,3426.32,2,3,5,235,At Risk
12378.0,129,2,5416.32,3,2,5,325,Need Attention
12379.0,81,4,1620.22,3,3,4,334,Loyal Customers
12380.0,21,11,9676.300000000001,4,5,5,455,Champions
12381.0,4,5,1845.31,5,4,4,544,Champions
12383.0,184,5,1850.56,3,4,4,344,Loyal Customers
12384.0,28,2,585.27,4,2,2,422,Potential Loyalists
12385.0,378,1,1938.4,2,1,4,214,Lost Customers
12386.0,337,2,401.9,2,2,2,222,Lost Customers
12387.0,414,1,143.94,1,1,1,111,Lost Customers
12388.0,15,8,3901.11,5,4,5,545,Champions
12389.0,402,3,1433.33,2,3,4,234,At Risk
