Customer ID,Recency,Frequency,Monetary,Segment,Cluster,Churn
12346.0,325,34,77556.46,At Risk,2,1
12347.0,1,222,4921.53,VIP Customer,2,0
12348.0,74,51,2019.4,Active Customer,2,0
12349.0,18,175,4428.69,VIP Customer,2,0
12350.0,309,17,334.4,At Risk,0,1
12351.0,374,21,300.93,At Risk,0,1
12352.0,35,103,2849.84,Active Customer,2,0
12353.0,203,24,406.76,At Risk,2,1
12354.0,231,58,1079.4,At Risk,2,1
12355.0,213,35,947.61,At Risk,2,1
12356.0,22,142,6371.73,VIP Customer,2,0
12357.0,32,296,18287.66,VIP Customer,2,0
12358.0,1,77,3887.07,Active Customer,2,0
12359.0,57,362,8873.39,VIP Customer,2,0
12360.0,51,217,4252.89,VIP Customer,2,0
12361.0,286,29,511.25,At Risk,0,1
12362.0,2,267,5356.23,VIP Customer,2,0
12363.0,109,23,552.0,Active Customer,2,0
12364.0,7,85,1313.1,Active Customer,2,0
12365.0,290,22,641.38,At Risk,0,1
12366.0,633,3,500.24,At Risk,0,1
12367.0,3,11,168.9,Active Customer,2,0
12368.0,627,18,917.6999999999999,At Risk,0,1
12369.0,412,93,1791.15,At Risk,0,1
12370.0,50,201,4316.56,VIP Customer,2,0
12371.0,44,167,4067.38,VIP Customer,2,0
12372.0,71,52,1298.04,Active Customer,2,0
12373.0,310,51,1127.65,At Risk,0,1
12374.0,24,83,2989.2200000000003,Active Customer,2,0
12375.0,10,17,457.5,Active Customer,2,0
12376.0,389,13,503.15,At Risk,0,1
12377.0,314,152,3426.32,VIP Customer,0,1
12378.0,129,301,5416.32,VIP Customer,2,0
12379.0,81,81,1620.22,Active Customer,2,0
12380.0,21,277,9676.300000000001,VIP Customer,2,0
12381.0,4,87,1845.31,Active Customer,2,0
12383.0,184,99,1850.56,Active Customer,2,0
12384.0,28,27,585.27,Active Customer,2,0
12385.0,378,65,1938.4,At Risk,0,1
12386.0,337,10,401.9,At Risk,0,1
12387.0,414,9,143.94,At Risk,0,1
12388.0,15,146,3901.11,VIP Customer,2,0
12389.0,402,49,1433.33,At Risk,0,1
12390.0,79,32,549.84,Active Customer,2,0
12391.0,21,267,2724.84,Active Customer,2,0
12392.0,590,7,234.75000000000003,At Risk,0,1
12393.0,71,107,2399.4500000000003,Active Customer,2,0
12394.0,63,27,1272.48,Active Customer,2,0
12395.0,18,242,4721.17,VIP Customer,2,0
12396.0,673,65,931.43,At Risk,0,1
12397.0,35,126,2409.9,Active Customer,2,0
12398.0,45,85,1635.6599999999999,Active Customer,2,0
12399.0,118,110,1962.3,Active Customer,2,0
12400.0,413,11,205.25,At Risk,0,1
12401.0,302,5,84.3,At Risk,0,1
12402.0,322,70,1256.9,At Risk,0,1
12403.0,49,9,1019.36,Active Customer,2,0
12404.0,681,1,63.24,At Risk,0,1
12405.0,148,54,1710.39,Active Customer,2,0
12406.0,21,166,6390.36,VIP Customer,2,0
12407.0,49,77,1708.1200000000001,Active Customer,2,0
12408.0,32,159,4340.7699999999995,VIP Customer,2,0
12409.0,78,264,23419.29,VIP Customer,2,0
12410.0,308,40,1013.71,At Risk,0,1
12411.0,409,22,346.9,At Risk,0,1
12412.0,74,127,2596.93,Active Customer,2,0
12413.0,66,51,999.45,Active Customer,2,0
12414.0,216,28,952.41,At Risk,2,1
12415.0,23,926,144458.37,VIP Customer,2,0
12416.0,656,11,202.56,At Risk,0,1
12417.0,2,369,6797.41,VIP Customer,2,0
12418.0,112,102,2021.2,Active Customer,2,0
12419.0,385,25,503.01,At Risk,0,1
12420.0,63,29,600.39,Active Customer,2,0
12421.0,15,65,1098.6,Active Customer,2,0
12422.0,95,172,5231.8,VIP Customer,2,0
12423.0,0,165,2622.39,Active Customer,2,0
12424.0,162,92,3340.03,Active Customer,2,0
12425.0,77,91,1741.41,Active Customer,2,0
12426.0,194,77,1345.21,Active Customer,2,0
12427.0,21,31,825.8,Active Customer,2,0
12428.0,25,294,7956.46,VIP Customer,2,0
12429.0,8,153,6204.41,VIP Customer,2,0
12430.0,42,11,256.4,Active Customer,2,0
12431.0,35,390,10432.22,VIP Customer,2,0
12432.0,42,108,5059.32,Active Customer,2,0
12433.0,0,559,16794.14,VIP Customer,2,0
12434.0,84,70,1103.43,Active Customer,2,0
12435.0,79,112,13925.93,Active Customer,2,0
12436.0,99,16,509.01,Active Customer,2,0
12437.0,1,563,12683.4,VIP Customer,2,0
12438.0,13,98,2906.85,Active Customer,2,0
12439.0,682,71,1142.88,At Risk,0,1
12440.0,461,32,859.2,At Risk,0,1
12441.0,366,11,173.55,At Risk,0,1
12442.0,2,12,172.06,Active Customer,2,0
12443.0,731,21,485.31,At Risk,0,1
12444.0,20,176,5005.46,VIP Customer,2,0
12445.0,21,24,434.98,Active Customer,2,0
12446.0,57,57,1002.3100000000001,Active Customer,2,0
12447.0,242,26,476.49,At Risk,2,1
12448.0,43,22,449.45,Active Customer,2,0
12449.0,21,201,4835.89,VIP Customer,2,0
